epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,729.104,1.00967,0.84523,0.89614,0.88253,0.84991,0.89125,0.59173,1.13711,0.53776,0.84753,3.4675e-05,3.4675e-05,3.4675e-05
89,737.571,1.01021,0.83852,0.89621,0.87911,0.84708,0.88933,0.57849,1.19896,0.54495,0.85313,3.22e-05,3.22e-05,3.22e-05
90,745.99,1.01042,0.84589,0.89634,0.88115,0.84916,0.89162,0.58555,1.18682,0.53979,0.85254,2.9725e-05,2.9725e-05,2.9725e-05
91,766.356,0.98261,0.64891,0.88257,0.88767,0.83048,0.88613,0.57325,1.18533,0.55361,0.84931,2.725e-05,2.725e-05,2.725e-05
92,774.431,0.94424,0.58525,0.87543,0.87565,0.82511,0.87777,0.5811,1.12015,0.55216,0.84243,2.4775e-05,2.4775e-05,2.4775e-05
93,782.854,0.93651,0.57348,0.87384,0.87192,0.8313,0.8779,0.5811,1.12195,0.55485,0.84233,2.23e-05,2.23e-05,2.23e-05
94,791.119,0.92849,0.5704,0.8726,0.87047,0.83675,0.88034,0.58156,1.13082,0.55282,0.84323,1.9825e-05,1.9825e-05,1.9825e-05
95,799.367,0.92576,0.56102,0.86951,0.86997,0.83306,0.87971,0.58178,1.1234,0.55069,0.84313,1.735e-05,1.735e-05,1.735e-05
96,807.466,0.92228,0.55984,0.87128,0.87808,0.83331,0.8808,0.58422,1.11724,0.54662,0.84239,1.4875e-05,1.4875e-05,1.4875e-05
97,815.495,0.91863,0.55565,0.87103,0.88059,0.83335,0.88197,0.58366,1.12989,0.54577,0.84377,1.24e-05,1.24e-05,1.24e-05
98,823.636,0.9176,0.55425,0.86986,0.8774,0.83551,0.8821,0.58709,1.11817,0.54322,0.8428,9.925e-06,9.925e-06,9.925e-06
99,831.656,0.91187,0.55169,0.87039,0.87845,0.83418,0.88323,0.58819,1.1158,0.54018,0.84265,7.45e-06,7.45e-06,7.45e-06
100,839.674,0.91461,0.55167,0.86989,0.88337,0.83514,0.88348,0.59219,1.10697,0.53857,0.84193,4.975e-06,4.975e-06,4.975e-06
