epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6514.4,0.96427,0.40897,0.91613,0.9932,0.99386,0.9945,0.78009,0.94516,0.3335,0.89383,0.005743,0.005743,0.005743
88,6587.46,0.95955,0.40717,0.91459,0.99351,0.9932,0.99454,0.78154,0.94067,0.33198,0.89319,0.0056935,0.0056935,0.0056935
89,6660.76,0.9621,0.40685,0.91823,0.99355,0.99323,0.99459,0.78104,0.94123,0.33187,0.89369,0.005644,0.005644,0.005644
90,6732.7,0.96443,0.40873,0.91868,0.99326,0.99303,0.9946,0.77935,0.94428,0.33219,0.89483,0.0055945,0.0055945,0.0055945
91,6806.11,0.954,0.40351,0.91666,0.99406,0.99245,0.99462,0.77959,0.94709,0.33195,0.89545,0.005545,0.005545,0.005545
92,6880.05,0.95885,0.40484,0.91368,0.99368,0.99215,0.99458,0.78001,0.94414,0.33187,0.89405,0.0054955,0.0054955,0.0054955
93,6951.7,0.95618,0.40557,0.91396,0.99357,0.99268,0.99459,0.7803,0.94409,0.33123,0.89419,0.005446,0.005446,0.005446
94,7023.42,0.95823,0.40522,0.91522,0.99352,0.99215,0.99457,0.78105,0.94223,0.33115,0.89362,0.0053965,0.0053965,0.0053965
95,7097.53,0.95496,0.40621,0.91307,0.99315,0.99285,0.99463,0.78154,0.94078,0.33144,0.89321,0.005347,0.005347,0.005347
96,7169.53,0.95866,0.40428,0.91634,0.99337,0.99303,0.99463,0.78264,0.93884,0.33084,0.89303,0.0052975,0.0052975,0.0052975
97,7244.43,0.95495,0.40354,0.91555,0.99403,0.99268,0.99465,0.78271,0.93889,0.33047,0.89315,0.005248,0.005248,0.005248
98,7319.35,0.95316,0.40285,0.91424,0.99433,0.99285,0.99461,0.78251,0.93896,0.32994,0.89307,0.0051985,0.0051985,0.0051985
99,7392.78,0.95547,0.40385,0.91535,0.99424,0.99263,0.99465,0.78188,0.93818,0.32945,0.89301,0.005149,0.005149,0.005149
100,7468.06,0.95494,0.40292,0.91279,0.99407,0.99307,0.99468,0.78167,0.93884,0.32974,0.893,0.0050995,0.0050995,0.0050995
101,7541.14,0.95209,0.40193,0.9106,0.99406,0.99257,0.99465,0.78107,0.94011,0.3299,0.89335,0.00505,0.00505,0.00505
102,7614.36,0.9518,0.40283,0.91365,0.99383,0.99285,0.99463,0.78086,0.94043,0.32973,0.89364,0.0050005,0.0050005,0.0050005
103,7688.5,0.95432,0.40206,0.91244,0.99399,0.99268,0.99464,0.78021,0.94169,0.32957,0.89375,0.004951,0.004951,0.004951
104,7763.17,0.94984,0.40189,0.91303,0.99412,0.9925,0.99462,0.77993,0.9412,0.32929,0.89368,0.0049015,0.0049015,0.0049015
105,7835.16,0.95064,0.39998,0.91522,0.99302,0.99268,0.99461,0.78048,0.94002,0.3291,0.89355,0.004852,0.004852,0.004852
106,7907.67,0.95155,0.3998,0.91362,0.9929,0.9925,0.99462,0.77976,0.94098,0.32901,0.89383,0.0048025,0.0048025,0.0048025
107,7980.26,0.94729,0.39855,0.91178,0.99326,0.99233,0.99462,0.77911,0.94128,0.32897,0.89375,0.004753,0.004753,0.004753
108,8053.09,0.94396,0.39564,0.91157,0.99332,0.99233,0.99464,0.77886,0.94159,0.32811,0.89388,0.0047035,0.0047035,0.0047035
109,8128.61,0.94817,0.39755,0.91272,0.99335,0.99215,0.99464,0.77875,0.94183,0.32763,0.89398,0.004654,0.004654,0.004654
110,8203.58,0.94948,0.39713,0.91046,0.99446,0.99041,0.99464,0.77918,0.94134,0.32762,0.89379,0.0046045,0.0046045,0.0046045
111,8277.37,0.94465,0.39369,0.91104,0.9944,0.99055,0.99463,0.77892,0.94195,0.32782,0.89375,0.004555,0.004555,0.004555
112,8351.91,0.9438,0.39572,0.91135,0.99423,0.99099,0.99464,0.7794,0.94159,0.32761,0.8937,0.0045055,0.0045055,0.0045055
113,8426.81,0.94174,0.3924,0.91101,0.99405,0.9908,0.99463,0.78024,0.94059,0.32725,0.89357,0.004456,0.004456,0.004456
114,8499.39,0.94599,0.39442,0.91042,0.99446,0.99093,0.99464,0.78058,0.93971,0.32671,0.8934,0.0044065,0.0044065,0.0044065
115,8572.66,0.94295,0.39284,0.91257,0.9944,0.9907,0.99464,0.78071,0.93926,0.32661,0.89333,0.004357,0.004357,0.004357
116,8647.06,0.94179,0.39217,0.91061,0.9944,0.99077,0.99464,0.78049,0.93912,0.32618,0.89349,0.0043075,0.0043075,0.0043075
117,8720.11,0.94428,0.39471,0.91091,0.99475,0.99105,0.99463,0.78095,0.93844,0.32602,0.8932,0.004258,0.004258,0.004258
118,8795.44,0.94204,0.39079,0.91028,0.99475,0.99119,0.99463,0.78072,0.93807,0.32605,0.89315,0.0042085,0.0042085,0.0042085
119,8869.85,0.94127,0.39222,0.91097,0.99458,0.99173,0.99464,0.78051,0.93863,0.32615,0.89327,0.004159,0.004159,0.004159
120,8942.24,0.93818,0.38993,0.91073,0.99384,0.99163,0.99465,0.78047,0.93897,0.32556,0.89328,0.0041095,0.0041095,0.0041095
121,9016.73,0.94219,0.39327,0.90964,0.99441,0.99196,0.99466,0.7807,0.93884,0.32556,0.89334,0.00406,0.00406,0.00406
122,9092.15,0.93513,0.38957,0.90746,0.99441,0.99179,0.99467,0.7806,0.93879,0.32514,0.89325,0.0040105,0.0040105,0.0040105
123,9165.32,0.9374,0.39049,0.90414,0.99462,0.99163,0.99467,0.78118,0.93845,0.32505,0.89303,0.003961,0.003961,0.003961
124,9240.72,0.93296,0.38632,0.90879,0.99459,0.99163,0.99466,0.78151,0.93835,0.32504,0.89298,0.0039115,0.0039115,0.0039115
125,9316.18,0.93823,0.38775,0.90641,0.99472,0.9918,0.99466,0.78168,0.93833,0.32504,0.89293,0.003862,0.003862,0.003862
126,9387.81,0.93023,0.38914,0.9054,0.99475,0.99181,0.99467,0.7817,0.93851,0.32484,0.89288,0.0038125,0.0038125,0.0038125
127,9460.5,0.93414,0.38824,0.90623,0.99487,0.99163,0.99467,0.78156,0.93844,0.32478,0.89279,0.003763,0.003763,0.003763
128,9532.73,0.93457,0.38773,0.90851,0.99458,0.99176,0.99468,0.78187,0.93773,0.32462,0.89254,0.0037135,0.0037135,0.0037135
129,9603.68,0.9308,0.38436,0.90361,0.99475,0.99179,0.99468,0.78212,0.93731,0.32452,0.89241,0.003664,0.003664,0.003664
130,9676.26,0.93251,0.38327,0.90648,0.9947,0.99268,0.99469,0.78236,0.93755,0.32457,0.89242,0.0036145,0.0036145,0.0036145
131,9749.44,0.929,0.38354,0.90797,0.99493,0.99243,0.99469,0.78231,0.93725,0.3245,0.8923,0.003565,0.003565,0.003565
132,9820.34,0.93192,0.38582,0.90582,0.99479,0.99233,0.9947,0.78255,0.93662,0.32458,0.8921,0.0035155,0.0035155,0.0035155
133,9891.9,0.93054,0.38298,0.90457,0.99476,0.99248,0.99472,0.78273,0.9366,0.32453,0.89213,0.003466,0.003466,0.003466
134,9964.68,0.92577,0.38075,0.90785,0.99476,0.99233,0.99472,0.78255,0.93676,0.32455,0.89223,0.0034165,0.0034165,0.0034165
135,10035.8,0.92645,0.38102,0.9087,0.99493,0.99202,0.99472,0.78254,0.93641,0.32438,0.89214,0.003367,0.003367,0.003367
